feature_number,influence_factor,fid_score,concept,per_timestep
16,0.4,294.62426213015675,exposed_armpits,False
16,0.8,292.98574389811915,exposed_armpits,False
16,1.6,296.4888459252397,exposed_armpits,False
16,3.2,295.6763562874704,exposed_armpits,False
16,6.4,295.2661345688994,exposed_armpits,False
16,12.8,296.23923967447047,exposed_armpits,False
0,0.0,310.7561828485645,exposed_belly,False
1,0.1,309.37933182822474,exposed_belly,False
1,0.2,306.5971360406412,exposed_belly,False
1,0.4,305.99948160128343,exposed_belly,False
1,0.8,307.2054823967307,exposed_belly,False
1,1.6,305.9471824467221,exposed_belly,False
1,3.2,308.0899000376193,exposed_belly,False
1,6.4,308.61346515866967,exposed_belly,False
1,12.8,316.82158478038764,exposed_belly,False
2,0.1,306.83876098093816,exposed_belly,False
2,0.2,306.6471962282664,exposed_belly,False
2,0.4,305.6192999834445,exposed_belly,False
2,0.8,310.1106019032495,exposed_belly,False
2,1.6,307.5173548003295,exposed_belly,False
2,3.2,305.95118925623007,exposed_belly,False
2,6.4,311.8893051541413,exposed_belly,False
2,12.8,315.1566805593427,exposed_belly,False
4,0.1,306.3177595607742,exposed_belly,False
4,0.2,309.376899831576,exposed_belly,False
4,0.4,307.24062295716794,exposed_belly,False
4,0.8,307.99628407280983,exposed_belly,False
4,1.6,307.18634489144586,exposed_belly,False
4,3.2,309.02975969079625,exposed_belly,False
4,6.4,313.65127203777934,exposed_belly,False
4,12.8,311.11176547127087,exposed_belly,False
8,0.1,306.2989203958356,exposed_belly,False
8,0.2,309.22341657679726,exposed_belly,False
8,0.4,307.2515965410181,exposed_belly,False
8,0.8,311.2116054584196,exposed_belly,False
8,1.6,303.6674692599525,exposed_belly,False
8,3.2,304.1893621326187,exposed_belly,False
8,6.4,316.0842775291675,exposed_belly,False
8,12.8,307.2154944946727,exposed_belly,False
12,0.1,306.7519088040217,exposed_belly,False
12,0.2,308.01538763028867,exposed_belly,False
12,0.4,305.1217326534572,exposed_belly,False
12,0.8,308.14667037812166,exposed_belly,False
12,1.6,303.00919415524305,exposed_belly,False
12,3.2,306.9577325053814,exposed_belly,False
12,6.4,313.8228142571785,exposed_belly,False
12,12.8,308.2672903363598,exposed_belly,False
16,0.1,306.13597660374245,exposed_belly,False
16,0.2,306.0568468225252,exposed_belly,False
16,0.4,305.56203368827835,exposed_belly,False
16,0.8,306.5385102671259,exposed_belly,False
16,1.6,303.5582860733592,exposed_belly,False
16,3.2,306.2255075623624,exposed_belly,False
16,6.4,312.3036889801963,exposed_belly,False
16,12.8,308.13644000841646,exposed_belly,False
0,0.0,304.55384650440703,exposed_breast,False
